"","Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy"
"1",0,0.585845785445183,0.00183518869968623,0.105877151942876,0.0161149265030941,0.703477145816289,0.00821298520123576,2.91402817364507,3.03095303109689
"2",1,0.639990233823552,0.00183518869968623,0.1137038790541,0.0161149265030941,0.734546198580957,0.00821298520123576,2.91402405133284,3.03088403496311
"3",2,0.69488512723498,0.00183518869968623,0.103865426463855,0.0161149265030941,0.762458008911372,0.00821298520123576,2.91401992228613,3.03081498640677
"4",3,0.745159021469295,0.00183518869968623,0.0831346279367429,0.0161149265030941,0.784909826001406,0.00821298520123576,2.9139972923775,3.03074588535384
"5",4,0.779398958225295,0.00183518869968623,0.0546653380926081,0.0161149265030941,0.800061091674495,0.00821298520123576,2.9139746497582,3.03067673173008
"6",5,0.789031909086601,0.00183518869968623,0.0274861922278307,0.0161149265030941,0.8065057199492,0.00821298520123576,2.91395199442292,3.03060752546105
"7",6,0.768964125119567,0.00183518869968623,0.0115256094449636,0.0161149265030941,0.803617453829561,0.00821298520123576,2.9139198395821,3.03053826647209
"8",7,0.723313350907766,0.00183518869968623,0.0136103595721746,0.0161149265030941,0.791922637292192,0.00821298520123576,2.91388766772566,3.03046895468834
"9",8,0.667511530030755,0.00183518869968623,0.0282656310728191,0.0161149265030941,0.773161314595149,0.00821298520123576,2.91385058800875,3.03039959003474
"10",9,0.612913696271461,0.00183518869968623,0.043038138990755,0.0161149265030941,0.749633647923313,0.00821298520123576,2.9138134886086,3.030330172436
"11",10,0.56713665963381,0.00183518869968623,0.0483138207570191,0.0161149265030941,0.723838997077134,0.00821298520123576,2.91377636951387,3.03026070181664
"12",11,0.528345504409516,0.00183518869968623,0.0461551291676612,0.0161149265030941,0.697719610859059,0.00821298520123576,2.91373923071327,3.03019117810096
"13",12,0.495955166644602,0.00183518869968623,0.0432368202640934,0.0161149265030941,0.672510102969606,0.00821298520123576,2.91370207219543,3.03012160121304
"14",13,0.471283106699716,0.00183518869968623,0.0396645887741274,0.0161149265030941,0.649024240808579,0.00821298520123576,2.91366489394903,3.03005197107677
"15",14,0.4542324272947,0.00183518869968623,0.0373346707672919,0.0161149265030941,0.628075894867249,0.00821298520123576,2.91362769596269,3.0299822876158
"16",15,0.443290159102092,0.00183518869968623,0.0343561491860553,0.0161149265030941,0.610551050243072,0.00821298520123576,2.91359047822506,3.02991255075358
"17",16,0.437419646335006,0.00183518869968623,0.030547561678306,0.0161149265030941,0.597444579546679,0.00821298520123576,2.91355828268282,3.02984276041335
"18",17,0.43746510149587,0.00183518869968623,0.0294320785952555,0.0161149265030941,0.589729358353876,0.00821298520123576,2.91355414635633,3.02977291651811
"19",18,0.442231468022674,0.00183518869968623,0.0296158645650113,0.0161149265030941,0.588161128290933,0.00821298520123576,2.91355000328927,3.02970301899067
"20",19,0.451401958707455,0.00183518869968623,0.0320142305697484,0.0161149265030941,0.593318078781849,0.00821298520123576,2.9135704808199,3.0296330677536
"21",20,0.46274184480164,0.00183518869968623,0.0376585725055287,0.0161149265030941,0.605383171681084,0.00821298520123576,2.91359095652655,3.02956306272926
"22",21,0.476914800236353,0.00183518869968623,0.0457895264283756,0.0161149265030941,0.623891732660061,0.00821298520123576,2.91358680927286,3.0294930038398
"23",22,0.496789718444846,0.00183518869968623,0.0593990342392994,0.0161149265030941,0.647596068531182,0.00821298520123576,2.91358265527439,3.02942289100712
"24",23,0.522882045638168,0.00183518869968623,0.0731920892671747,0.0161149265030941,0.674786788423057,0.00821298520123576,2.91357849452913,3.02935272415293
"25",24,0.557599706692458,0.00183518869968623,0.0854447961660449,0.0161149265030941,0.703394414623875,0.00821298520123576,2.91357432703504,3.0292825031987
"26",25,0.598502214487135,0.00183518869968623,0.0900540656359397,0.0161149265030941,0.731217893021385,0.00821298520123576,2.9135701527901,3.02921222806568
"27",26,0.641098444138666,0.00183518869968623,0.0834236677181099,0.0161149265030941,0.756049405563899,0.00821298520123576,2.91354748166818,3.02914189867488
"28",27,0.679042774254349,0.00183518869968623,0.0672249961402516,0.0161149265030941,0.775808975158604,0.00821298520123576,2.91352479781368,3.02907151494712
"29",28,0.703351820378827,0.00183518869968623,0.0447824561867156,0.0161149265030941,0.78874203536215,0.00821298520123576,2.9135021012213,3.02900107680294
"30",29,0.708128875111434,0.00183518869968623,0.0229282214144755,0.0161149265030941,0.79347223515906,0.00821298520123576,2.9134698882438,3.02893058416271
"31",30,0.688993575513398,0.00183518869968623,0.0110853691548236,0.0161149265030941,0.789380239254764,0.00821298520123576,2.91343765821616,3.02886003694653
"32",31,0.648440296318794,0.00183518869968623,0.0130869892993486,0.0161149265030941,0.776937582819716,0.00821298520123576,2.91340041632471,3.02878943507428
"33",32,0.598055666790895,0.00183518869968623,0.0253316811806696,0.0161149265030941,0.757782528680078,0.00821298520123576,2.91335091560865,3.02871877846562
