"","Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy"
"1",0,0.0217280294213114,6.25576078926203e-05,0.00374251758131727,0.000111433162762878,0.166900842611707,0.00158910044804996,0.266608893384703,0.251754150705496
"2",1,0.0245569792433813,6.25576078926203e-05,0.0047192426526661,0.000111433162762878,0.197841845708004,0.00158910044804996,0.266609116674245,0.251754374272739
"3",2,0.0277553062384426,6.25576078926203e-05,0.00542513729782468,0.000111433162762878,0.234968892650652,0.00158910044804996,0.266609339964197,0.25175459784041
"4",3,0.0314391634998697,6.25576078926203e-05,0.0064450926206453,0.000111433162762878,0.2799484565939,0.00158910044804996,0.26660956325456,0.251754821408511
"5",4,0.0353540206927313,6.25576078926203e-05,0.00679154784268543,0.000111433162762878,0.327032038725299,0.00158910044804996,0.266609786545333,0.251755044977041
"6",5,0.0390456389023408,6.25576078926203e-05,0.0062018608809109,0.000111433162762878,0.365333055378636,0.00158910044804996,0.266610009836517,0.251755268546
"7",6,0.0423842006738966,6.25576078926203e-05,0.00528542019399536,0.000111433162762878,0.390648493362167,0.00158910044804996,0.266610233128111,0.251755492115389
"8",7,0.0450665287912383,6.25576078926203e-05,0.00409870919366184,0.000111433162762878,0.404129755806015,0.00158910044804996,0.266610456420116,0.251755715685206
"9",8,0.047050651062707,6.25576078926203e-05,0.00328494645545729,0.000111433162762878,0.406101868318582,0.00158910044804996,0.266610679712531,0.251755939255452
"10",9,0.0482465425506897,6.25576078926203e-05,0.00257720921586502,0.000111433162762878,0.399831271184601,0.00158910044804996,0.266610903005357,0.251756162826128
"11",10,0.0487982062371433,6.25576078926203e-05,0.002178638911422,0.000111433162762878,0.387659577370886,0.00158910044804996,0.266611126298593,0.251756386397232
"12",11,0.0487179342570505,6.25576078926203e-05,0.00184780845180255,0.000111433162762878,0.371153218324186,0.00158910044804996,0.266611349592239,0.251756609968766
