"","Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy"
"1",0,0.0161885411929378,5.345795976038e-05,0.000962817658839377,7.86020132680537e-05,0.149716238925717,0.00171238574766666,0.16302897697255,0.176836772617036
"2",1,0.0167260500778887,5.345795976038e-05,0.00100044274145628,7.86020132680537e-05,0.15492213069626,0.00171238574766666,0.163029131384719,0.176836947997425
"3",2,0.0173973058941826,5.345795976038e-05,0.00115105612270111,7.86020132680537e-05,0.160653387390742,0.00171238574766666,0.163029285797206,0.176837123378187
"4",3,0.0180512833016388,5.345795976038e-05,0.00117918119110244,7.86020132680537e-05,0.167212723374537,0.00171238574766666,0.163029440210012,0.176837298759323
"5",4,0.0187882028734419,5.345795976038e-05,0.00123825500747882,7.86020132680537e-05,0.174628447330209,0.00171238574766666,0.163029594623136,0.176837474140833
"6",5,0.019586796821747,5.345795976038e-05,0.00131187347820427,7.86020132680537e-05,0.182759916408283,0.00171238574766666,0.163029749036579,0.176837649522716
"7",6,0.0204426442071599,5.345795976038e-05,0.00145625665304161,7.86020132680537e-05,0.191285577345639,0.00171238574766666,0.163029903450341,0.176837824904973
"8",7,0.0213368213107232,5.345795976038e-05,0.0014531373866698,7.86020132680537e-05,0.200236685132086,0.00171238574766666,0.163030057864421,0.176838000287603
"9",8,0.0222617161325325,5.345795976038e-05,0.00150908796756954,7.86020132680537e-05,0.209846107886481,0.00171238574766666,0.16303021227882,0.176838175670607
"10",9,0.0232523295194986,5.345795976038e-05,0.00153359133764774,7.86020132680537e-05,0.219543885872469,0.00171238574766666,0.163030366693537,0.176838351053984
"11",10,0.0242890890517181,5.345795976038e-05,0.001619617642314,7.86020132680537e-05,0.229348611762017,0.00171238574766666,0.163030521108573,0.176838526437734
"12",11,0.0253521941676985,5.345795976038e-05,0.00166118310562269,7.86020132680537e-05,0.239906810845428,0.00171238574766666,0.163030675523928,0.176838701821859
"13",12,0.0264474211476849,5.345795976038e-05,0.00164693065597471,7.86020132680537e-05,0.251215717131233,0.00171238574766666,0.163030829939601,0.176838877206356
