"","Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy"
"1",0,0.0131291325466149,4.04028720476725e-05,0.00314920529107166,0.00011376723137679,0.203483276491492,0.00110834766276324,0.472527872698757,0.435028353576048
"2",1,0.014295842099005,4.04028720476725e-05,0.00343339637874596,0.00011376723137679,0.224834376029727,0.00110834766276324,0.472528053434699,0.43502853401045
"3",2,0.0155393873789366,4.04028720476725e-05,0.00353861282342538,0.00011376723137679,0.245610471916447,0.00110834766276324,0.472528234170795,0.435028714445015
"4",3,0.0168022282818877,4.04028720476725e-05,0.00349716760472518,0.00011376723137679,0.26471454889999,0.00110834766276324,0.472528414907043,0.435028894879743
"5",4,0.0180774931525459,4.04028720476725e-05,0.00336187739323968,0.00011376723137679,0.281409680029003,0.00110834766276324,0.472528595643443,0.435029075314635
"6",5,0.0193466469032649,4.04028720476725e-05,0.00314759660844699,0.00011376723137679,0.295011718522088,0.00110834766276324,0.472528776379997,0.43502925574969
"7",6,0.0205780408280875,4.04028720476725e-05,0.00287345367380487,0.00011376723137679,0.305904599750648,0.00110834766276324,0.472528957116703,0.435029436184907
"8",7,0.0217599018860156,4.04028720476725e-05,0.00263084310313544,0.00011376723137679,0.314812667142884,0.00110834766276324,0.472529137853561,0.435029616620288
"9",8,0.022881789383871,4.04028720476725e-05,0.00239252348141805,0.00011376723137679,0.321672751813876,0.00110834766276324,0.472529318590573,0.435029797055832
"10",9,0.0239389476865829,4.04028720476725e-05,0.00215339731918796,0.00011376723137679,0.325808842355734,0.00110834766276324,0.472529499327737,0.435029977491539
"11",10,0.0249315154636128,4.04028720476725e-05,0.00203090652648164,0.00011376723137679,0.327983773121121,0.00110834766276324,0.472529680065053,0.43503015792741
"12",11,0.0258286845651583,4.04028720476725e-05,0.00179981170727361,0.00011376723137679,0.329390855591872,0.00110834766276324,0.472529860802523,0.435030338363443
