"","Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy"
"1",0,0.187203335394848,0.00193684043655961,0.0533051282161381,0.014194115548952,0.479217697482653,0.00770557816621528,2.59748671680738,2.446493082645
"2",1,0.229095730970246,0.00193684043655961,0.0566711099341441,0.014194115548952,0.528892663614078,0.00770557816621528,2.59750455510412,2.44635737316642
"3",2,0.270093615826041,0.00193684043655961,0.0508603442342057,0.014194115548952,0.570653108774034,0.00770557816621528,2.59752239195959,2.44622143899715
"4",3,0.304217235819618,0.00193684043655961,0.0401939417715029,0.014194115548952,0.601501713692626,0.00770557816621528,2.59754022737342,2.446085278761
"5",4,0.328359631176752,0.00193684043655961,0.0294757073174523,0.014194115548952,0.621211615587208,0.00770557816621528,2.59755806134525,2.44594889106468
"6",5,0.341466420139213,0.00193684043655961,0.0213421133457565,0.014194115548952,0.630843567054959,0.00770557816621528,2.59755809837747,2.44581227449743
"7",6,0.343662197684342,0.00193684043655961,0.0154497447208168,0.014194115548952,0.631923758998983,0.00770557816621528,2.59755813101219,2.44567542763071
"8",7,0.337869091071888,0.00193684043655961,0.0117689172145319,0.014194115548952,0.626597923651918,0.00770557816621528,2.59752484883699,2.44553834901787
"9",8,0.327308321629725,0.00193684043655961,0.0103074688140046,0.014194115548952,0.61722135104307,0.00770557816621528,2.59752487712747,2.44540103719375
"10",9,0.314310940916013,0.00193684043655961,0.00894918137114953,0.014194115548952,0.605574323171357,0.00770557816621528,2.59754271408196,2.4452634906744
"11",10,0.299679124305242,0.00193684043655961,0.00829624736208601,0.014194115548952,0.593001525998967,0.00770557816621528,2.59756054959386,2.44512570795665
"12",11,0.285986056733683,0.00193684043655961,0.00821173141864051,0.014194115548952,0.580175960454133,0.00770557816621528,2.5975605761066,2.4450716845955
"13",12,0.271798279860247,0.00193684043655961,0.00718400786934836,0.014194115548952,0.567638718035033,0.00770557816621528,2.59756059821846,2.44505646587208
"14",13,0.258607609790951,0.00193684043655961,0.00713790254367375,0.014194115548952,0.555568677199967,0.00770557816621528,2.59756061592834,2.44507143586725
"15",14,0.246907357483889,0.00193684043655961,0.00698683301535841,0.014194115548952,0.544077505197929,0.00770557816621528,2.59757845393048,2.44508640435669
"16",15,0.235916643139515,0.00193684043655961,0.00737940616710731,0.014194115548952,0.533328532278459,0.00770557816621528,2.59759629048942,2.44507118019476
"17",16,0.225706886976972,0.00193684043655961,0.0077599151203005,0.014194115548952,0.523200559606652,0.00770557816621528,2.59761412560481,2.44501713142307
"18",17,0.216089933390497,0.00193684043655961,0.00707790963434007,0.014194115548952,0.51369885622724,0.00770557816621528,2.59763195927627,2.44492188333183
"19",18,0.207879209824427,0.00193684043655961,0.00710331658676022,0.014194115548952,0.504627868425283,0.00770557816621528,2.59764979150342,2.44478384023014
"20",19,0.200370256070914,0.00193684043655961,0.00769195119043964,0.014194115548952,0.495342313321022,0.00770557816621528,2.5976676222859,2.44468851376737
"21",20,0.191041750153418,0.00193684043655961,0.00668449378660618,0.014194115548952,0.485170675700429,0.00770557816621528,2.59768545162332,2.44459311365445
"22",21,0.180493907149446,0.00193684043655961,0.00624931963470576,0.014194115548952,0.473597127517131,0.00770557816621528,2.59770327951533,2.44453902903804
"23",22,0.168461944041422,0.00193684043655961,0.00614152012694102,0.014194115548952,0.460444827691135,0.00770557816621528,2.59772110596154,2.44448492081512
"24",23,0.156300275130297,0.00193684043655961,0.00593181543065846,0.014194115548952,0.44507244912652,0.00770557816621528,2.59773675322229,2.44446967854849
"25",24,0.143468992332417,0.00193684043655961,0.00580775662909883,0.014194115548952,0.427132446763586,0.00770557816621528,2.597754579918,2.44446411655581
