"","Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy"
"1",0,0.0247957214485071,0.000149264155777008,0.00523542234152052,0.00027717163254009,0.176556415479755,0.00291476191516188,0.260800587379323,0.372184906698336
"2",1,0.0278630916362638,0.000149264155777008,0.0060744253766013,0.00027717163254009,0.212658671478653,0.00291476191516188,0.260801214051734,0.372185836633598
"3",2,0.0309951188526394,0.000149264155777008,0.00619156907921181,0.00027717163254009,0.243619068802307,0.00291476191516188,0.260801840727452,0.372186766573908
"4",3,0.0341755454010781,0.000149264155777008,0.00618395059577004,0.00027717163254009,0.274747623151898,0.00291476191516188,0.260802467406478,0.372187696519267
"5",4,0.037398273622965,0.000149264155777008,0.00623721271351618,0.00027717163254009,0.305501301921452,0.00291476191516188,0.26080309408881,0.372188626469675
"6",5,0.0406755699258893,0.000149264155777008,0.00605610923282329,0.00027717163254009,0.331817106355238,0.00291476191516188,0.26080372077445,0.372189556425131
"7",6,0.0436474185439332,0.000149264155777008,0.00535347167511568,0.00027717163254009,0.358356370152284,0.00291476191516188,0.260804347463398,0.372190486385636
"8",7,0.0466020646685281,0.000149264155777008,0.00506880134214815,0.00027717163254009,0.383150095907318,0.00291476191516188,0.260804974155652,0.37219141635119
"9",8,0.0493684167134044,0.000149264155777008,0.00451937964036997,0.00027717163254009,0.400380676661401,0.00291476191516188,0.260805600851214,0.372192346321792
"10",9,0.0518138624821403,0.000149264155777008,0.00398014417414605,0.00027717163254009,0.407777043112357,0.00291476191516188,0.260806227550083,0.372193276297444
"11",10,0.0540431867268258,0.000149264155777008,0.0034798728444122,0.00027717163254009,0.406668288758855,0.00291476191516188,0.26080685425226,0.372194206278144
"12",11,0.0556778467625056,0.000149264155777008,0.00282434631919426,0.00027717163254009,0.394548518065373,0.00291476191516188,0.260807480957744,0.372195136263893
"13",12,0.0571173843277454,0.000149264155777008,0.00276375348049573,0.00027717163254009,0.378796942777475,0.00291476191516188,0.260808107666535,0.372196066254691
"14",13,0.0582190457008219,0.000149264155777008,0.00259123314338572,0.00027717163254009,0.364654007289344,0.00291476191516188,0.260808734378634,0.372196996250539
"15",14,0.0588764979771641,0.000149264155777008,0.0022068417752471,0.00027717163254009,0.350826235829062,0.00291476191516188,0.260809361094041,0.372197926251435
"16",15,0.0592913886787081,0.000149264155777008,0.0018876268685275,0.00027717163254009,0.337852361135691,0.00291476191516188,0.260809987812755,0.372198856257381
"17",16,0.059438063568154,0.000149264155777008,0.00169728286950166,0.00027717163254009,0.326027435045929,0.00291476191516188,0.260810614534776,0.372199786268375
"18",17,0.0591969380263886,0.000149264155777008,0.0014913840155969,0.00027717163254009,0.314271069691612,0.00291476191516188,0.260811241260105,0.372200716284419
"19",18,0.0585219870085479,0.000149264155777008,0.00122207202184299,0.00027717163254009,0.302855356179156,0.00291476191516188,0.260811867988742,0.372201646305512
"20",19,0.0575220802942997,0.000149264155777008,0.00109622544782328,0.00027717163254009,0.291758540939289,0.00291476191516188,0.260812494720686,0.372202576331655
"21",20,0.0565055558681191,0.000149264155777008,0.00100627391906316,0.00027717163254009,0.281379210442769,0.00291476191516188,0.260813121455938,0.372203506362847
"22",21,0.0556154414293019,0.000149264155777008,0.00119697909785921,0.00027717163254009,0.271491117890057,0.00291476191516188,0.260813748194498,0.372204436399088
"23",22,0.0544622814773379,0.000149264155777008,0.000971690422022831,0.00027717163254009,0.26227747371878,0.00291476191516188,0.260814374936365,0.372205366440378
"24",23,0.0531652132907673,0.000149264155777008,0.0009589985054268,0.00027717163254009,0.253301863339368,0.00291476191516188,0.26081500168154,0.372206296486718
"25",24,0.0520863131587719,0.000149264155777008,0.00110040810467715,0.00027717163254009,0.244878576419272,0.00291476191516188,0.260815628430023,0.372207226538108
