"","Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy"
"1",0,0.0970923179516721,0.000154332448121182,0.0187036934689715,0.00116606269105742,-0.397075873472262,0.00245323801381022,0.272548327855424,2.59081043290506
"2",1,0.103851030240249,0.000154332448121182,0.0160935889142033,0.00116606269105742,-0.405170640870752,0.00245323801381022,0.272548800563792,2.59081213948893
"3",2,0.109082044478949,0.000154332448121182,0.0124845964122984,0.00116606269105742,-0.41020418825416,0.00245323801381022,0.27254927327393,2.5908138460647
"4",3,0.113261548598893,0.000154332448121182,0.0101853871965223,0.00116606269105742,-0.413007637418186,0.00245323801381022,0.272549745985837,2.59081555263237
"5",4,0.115894171748848,0.000154332448121182,0.00746903008811595,0.00116606269105742,-0.413800705754235,0.00245323801381022,0.272550218699515,2.59081725919193
"6",5,0.116920618659662,0.000154332448121182,0.0049150753581344,0.00116606269105742,-0.4132294142873,0.00245323801381022,0.272550691414962,2.59081896574338
"7",6,0.116843561984093,0.000154332448121182,0.00327955701528104,0.00116606269105742,-0.411832882199032,0.00245323801381022,0.272551164132179,2.59082067228672
"8",7,0.116096624100792,0.000154332448121182,0.00214957340428201,0.00116606269105742,-0.409913002230573,0.00245323801381022,0.272551636851166,2.59082237882196
"9",8,0.114918942466609,0.000154332448121182,0.00154501108923144,0.00116606269105742,-0.407658981740877,0.00245323801381022,0.272552109571923,2.5908240853491
"10",9,0.113540048772128,0.000154332448121182,0.00123479729588105,0.00116606269105742,-0.405158285613985,0.00245323801381022,0.27255258229445,2.59082579186813
"11",10,0.112039579735964,0.000154332448121182,0.00103090514209025,0.00116606269105742,-0.402512298301944,0.00245323801381022,0.272553055018747,2.59082749837905
"12",11,0.110468082574143,0.000154332448121182,0.000851940588135314,0.00116606269105742,-0.399737697625903,0.00245323801381022,0.272553527744814,2.59082920488186
"13",12,0.108802183450545,0.000154332448121182,0.000696585031886521,0.00116606269105742,-0.396882267012439,0.00245323801381022,0.27255400047265,2.59083091137657
"14",13,0.107175981397465,0.000154332448121182,0.000655688060421156,0.00116606269105742,-0.394010795668675,0.00245323801381022,0.272554473202257,2.59083261786317
"15",14,0.105662204854192,0.000154332448121182,0.000648138837657353,0.00116606269105742,-0.391169891381378,0.00245323801381022,0.272554945933633,2.59083432434166
"16",15,0.104200587298484,0.000154332448121182,0.000619639630750068,0.00116606269105742,-0.38835176968915,0.00245323801381022,0.27255541866678,2.59083603081205
"17",16,0.102799829011182,0.000154332448121182,0.00062366753876919,0.00116606269105742,-0.385563800190434,0.00245323801381022,0.272555891401697,2.59083773727433
"18",17,0.101454169166736,0.000154332448121182,0.000653782957467541,0.00116606269105742,-0.382801528771899,0.00245323801381022,0.272556364138383,2.5908394437285
"19",18,0.100161133244787,0.000154332448121182,0.000649075861500314,0.00116606269105742,-0.380068408391297,0.00245323801381022,0.272556836876839,2.59084115017456
"20",19,0.0988994575284412,0.000154332448121182,0.000609812853526126,0.00116606269105742,-0.377377212303632,0.00245323801381022,0.272557309617066,2.59084285661251
"21",20,0.0975556313787731,0.000154332448121182,0.000557025631080066,0.00116606269105742,-0.374716090159406,0.00245323801381022,0.272557782359062,2.59084456304235
"22",21,0.0962642603892627,0.000154332448121182,0.000556471125114033,0.00116606269105742,-0.372074732558315,0.00245323801381022,0.272558255102829,2.59084626946409
"23",22,0.0950165718574643,0.000154332448121182,0.000565999638129533,0.00116606269105742,-0.369449599219306,0.00245323801381022,0.272558727848365,2.59084797587772
"24",23,0.0937903690226025,0.000154332448121182,0.00054463378445968,0.00116606269105742,-0.366835418638294,0.00245323801381022,0.272559200595672,2.59084968228324
"25",24,0.0926201771345649,0.000154332448121182,0.000585523216026562,0.00116606269105742,-0.364258459523696,0.00245323801381022,0.272559673344749,2.59085138868064
"26",25,0.0915116072430711,0.000154332448121182,0.0005992679456992,0.00116606269105742,-0.361729656540389,0.00245323801381022,0.272560146095596,2.59085309506994
"27",26,0.0903915501751622,0.000154332448121182,0.000590280201620441,0.00116606269105742,-0.35925981765895,0.00245323801381022,0.272560618848212,2.59085480145113
"28",27,0.0893114775620978,0.000154332448121182,0.000617821457064682,0.00116606269105742,-0.356852058901868,0.00245323801381022,0.272561091602599,2.59085650782421
"29",28,0.0882654066859763,0.000154332448121182,0.000635203997041867,0.00116606269105742,-0.354491718772151,0.00245323801381022,0.272561564358756,2.59085821418918
"30",29,0.0873048513370831,0.000154332448121182,0.000640684519090495,0.00116606269105742,-0.352186211293116,0.00245323801381022,0.272562037116683,2.59085992054604
"31",30,0.0864564664320207,0.000154332448121182,0.000682727083133106,0.00116606269105742,-0.349926908001647,0.00245323801381022,0.272562509876381,2.59086162689479
"32",31,0.0856554924282209,0.000154332448121182,0.000708155044502501,0.00116606269105742,-0.347698331737524,0.00245323801381022,0.272562982637848,2.59086333323543
"33",32,0.0849252011521506,0.000154332448121182,0.000698125442004649,0.00116606269105742,-0.345500979536525,0.00245323801381022,0.272563455401085,2.59086503956796
"34",33,0.084241528653028,0.000154332448121182,0.000704654408289151,0.00116606269105742,-0.343337548283803,0.00245323801381022,0.272563928166093,2.59086674589237
"35",34,0.0835741347359149,0.000154332448121182,0.000730516069075815,0.00116606269105742,-0.341199310612315,0.00245323801381022,0.272564400932871,2.59086845220868
"36",35,0.0829006858336045,0.000154332448121182,0.000719846936204416,0.00116606269105742,-0.339076739896154,0.00245323801381022,0.272564873701419,2.59087015851687
"37",36,0.0822740263142574,0.000154332448121182,0.000681076153131954,0.00116606269105742,-0.336956556572798,0.00245323801381022,0.272565346471737,2.59087186481695
"38",37,0.0816115285500243,0.000154332448121182,0.000654482284982993,0.00116606269105742,-0.334834335245283,0.00245323801381022,0.272565819243825,2.59087357110892
"39",38,0.0809413764937186,0.000154332448121182,0.000671536993928523,0.00116606269105742,-0.332702930135175,0.00245323801381022,0.272566292017684,2.59087527739278
"40",39,0.0802568564483228,0.000154332448121182,0.000683486871724259,0.00116606269105742,-0.330585867962338,0.00245323801381022,0.272566764793313,2.59087698366853
"41",40,0.0795539245839985,0.000154332448121182,0.00065889210770198,0.00116606269105742,-0.328498719777137,0.00245323801381022,0.272567237570711,2.59087868993616
"42",41,0.0788742135206073,0.000154332448121182,0.000653407060498434,0.00116606269105742,-0.32644540991831,0.00245323801381022,0.272567710349881,2.59088039619568
"43",42,0.078178690700542,0.000154332448121182,0.000660576302525584,0.00116606269105742,-0.32440822240264,0.00245323801381022,0.27256818313082,2.59088210244709
"44",43,0.0774575125170118,0.000154332448121182,0.000656554460295666,0.00116606269105742,-0.322375054766733,0.00245323801381022,0.27256865591353,2.59088341826205
"45",44,0.0766886412513164,0.000154332448121182,0.000638299775519435,0.00116606269105742,-0.320357769659618,0.00245323801381022,0.27256912869801,2.59088473406429
"46",45,0.0759611990022049,0.000154332448121182,0.000639682305280331,0.00116606269105742,-0.318358692570496,0.00245323801381022,0.27256960148426,2.5908860498538
"47",46,0.0752728234502977,0.000154332448121182,0.000644024931430565,0.00116606269105742,-0.316384711050898,0.00245323801381022,0.272570074272281,2.59088736563059
"48",47,0.0746590605348367,0.000154332448121182,0.000678546293098492,0.00116606269105742,-0.31443419626366,0.00245323801381022,0.272570547062071,2.59088907192433
"49",48,0.0740340865723885,0.000154332448121182,0.000677561198668908,0.00116606269105742,-0.312513872184947,0.00245323801381022,0.272571019853632,2.59089077820996
"50",49,0.0734238582030731,0.000154332448121182,0.0006626656099602,0.00116606269105742,-0.310614452434574,0.00245323801381022,0.272571492646964,2.59089248448748
"51",50,0.0727525088316296,0.000154332448121182,0.000631222711842572,0.00116606269105742,-0.308729554032293,0.00245323801381022,0.272571965442066,2.59089419075688
"52",51,0.0721247913351375,0.000154332448121182,0.000590951293436337,0.00116606269105742,-0.306848820269572,0.00245323801381022,0.272572438238938,2.59089589701817
"53",52,0.0714803532791368,0.000154332448121182,0.000567135379978545,0.00116606269105742,-0.304979902437815,0.00245323801381022,0.27257291103758,2.59089760327134
"54",53,0.0708334681778626,0.000154332448121182,0.000555743517300922,0.00116606269105742,-0.303104583030256,0.00245323801381022,0.272573383837993,2.5908993095164
"55",54,0.0701865326908337,0.000154332448121182,0.000566171980186603,0.00116606269105742,-0.301209727080607,0.00245323801381022,0.272573856640176,2.59090101575335
"56",55,0.0695931114724098,0.000154332448121182,0.000575660914110543,0.00116606269105742,-0.299315273361828,0.00245323801381022,0.27257432944413,2.59090272198218
"57",56,0.0689824134713128,0.000154332448121182,0.000548639670048701,0.00116606269105742,-0.297433878736765,0.00245323801381022,0.272574802249853,2.5909044282029
"58",57,0.0683738792599646,0.000154332448121182,0.000570933375826588,0.00116606269105742,-0.295575146115441,0.00245323801381022,0.272575275057348,2.5909061344155
"59",58,0.0677366212165547,0.000154332448121182,0.000557838611901396,0.00116606269105742,-0.293730545132505,0.00245323801381022,0.272575747866612,2.59090784061999
"60",59,0.0671161428988007,0.000154332448121182,0.000579374685614642,0.00116606269105742,-0.291917535832379,0.00245323801381022,0.272576220677648,2.59090954681636
