"","Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy"
"1",0,0.152760236968654,0.000142072492621347,0.0076329403571056,0.000823384308919535,-0.451462608809254,0.00224225203099721,0.366742730213955,1.8378869609837
"2",1,0.153094886643165,0.000142072492621347,0.00622055606049754,0.000823384308919535,-0.452458370554653,0.00224225203099721,0.366743289227598,1.83788852091137
"3",2,0.152970723579428,0.000142072492621347,0.00544630416222791,0.000823384308919535,-0.451938513118675,0.00224225203099721,0.366743848243093,1.83789008083974
"4",3,0.152400976919546,0.000142072492621347,0.00460830676301516,0.000823384308919535,-0.450225269935411,0.00224225203099721,0.366744407260439,1.83789164076879
"5",4,0.15142657856779,0.000142072492621347,0.00385149065227264,0.000823384308919535,-0.447590235137075,0.00224225203099721,0.366744966279637,1.83789320069853
"6",5,0.14995209243743,0.000142072492621347,0.00323629428452099,0.000823384308919535,-0.444194368662915,0.00224225203099721,0.366745525300686,1.83789476062896
"7",6,0.14812536355031,0.000142072492621347,0.0027562924536908,0.000823384308919535,-0.440189752533651,0.00224225203099721,0.366746084323587,1.83789632056008
"8",7,0.145997412878085,0.000142072492621347,0.00240497923660365,0.000823384308919535,-0.435782988284041,0.00224225203099721,0.36674664334834,1.83789788049188
"9",8,0.143615894439116,0.000142072492621347,0.00217791713304072,0.000823384308919535,-0.430999175168864,0.00224225203099721,0.366747202374944,1.83789944042438
"10",9,0.140945165382949,0.000142072492621347,0.00195298298320612,0.000823384308919535,-0.4259902043056,0.00224225203099721,0.3667477614034,1.83790100035756
"11",10,0.138008076475368,0.000142072492621347,0.00182369277184424,0.000823384308919535,-0.420815555732072,0.00224225203099721,0.366748320433708,1.83790256029143
"12",11,0.134963027376648,0.000142072492621347,0.00180832055519753,0.000823384308919535,-0.415473609071059,0.00224225203099721,0.366748879465867,1.83790412022599
"13",12,0.131965512196202,0.000142072492621347,0.00182533343086222,0.000823384308919535,-0.410005114168117,0.00224225203099721,0.366749438499878,1.83790568016124
"14",13,0.128915565600027,0.000142072492621347,0.0017608997708205,0.000823384308919535,-0.404488322484833,0.00224225203099721,0.366749997535741,1.83790724009717
"15",14,0.125917226571545,0.000142072492621347,0.00168964351390999,0.000823384308919535,-0.399000270192395,0.00224225203099721,0.366750556573456,1.83790880003379
"16",15,0.122980667824653,0.000142072492621347,0.00168428894600758,0.000823384308919535,-0.393543086015774,0.00224225203099721,0.366751115613022,1.8379103599711
"17",16,0.120132534849491,0.000142072492621347,0.00167742017200334,0.000823384308919535,-0.388137562863549,0.00224225203099721,0.36675167465444,1.8379119199091
"18",17,0.117371472162817,0.000142072492621347,0.00165308006069642,0.000823384308919535,-0.38275602482093,0.00224225203099721,0.366752233697709,1.83791347984779
"19",18,0.114636733508747,0.000142072492621347,0.00162155347291382,0.000823384308919535,-0.377435583679506,0.00224225203099721,0.366752792742831,1.83791503978716
"20",19,0.112091480095362,0.000142072492621347,0.00166299647344026,0.000823384308919535,-0.372216605375267,0.00224225203099721,0.366753351789804,1.83791659972723
"21",20,0.109623558572873,0.000142072492621347,0.0016525655796209,0.000823384308919535,-0.367145606521379,0.00224225203099721,0.366753910838629,1.83791815966798
"22",21,0.107307886833839,0.000142072492621347,0.00163624393243289,0.000823384308919535,-0.362232857972835,0.00224225203099721,0.366754469889305,1.83791971960942
"23",22,0.104962120036685,0.000142072492621347,0.00161177968269577,0.000823384308919535,-0.357461866591457,0.00224225203099721,0.366755028941834,1.83792127955154
"24",23,0.102690328045896,0.000142072492621347,0.00157754321334291,0.000823384308919535,-0.352816794393055,0.00224225203099721,0.366755587996214,1.83792283949436
"25",24,0.100561557351946,0.000142072492621347,0.0015692807583827,0.000823384308919535,-0.34824418401139,0.00224225203099721,0.366756147052446,1.83792439943786
"26",25,0.0984552866268387,0.000142072492621347,0.00154458539340752,0.000823384308919535,-0.343754981703298,0.00224225203099721,0.36675670611053,1.83792595938205
"27",26,0.0964786568123346,0.000142072492621347,0.0015342037314503,0.000823384308919535,-0.339379870314535,0.00224225203099721,0.366757265170465,1.83792751932693
"28",27,0.0945922244987134,0.000142072492621347,0.00148323306201581,0.000823384308919535,-0.33506137839605,0.00224225203099721,0.366757824232253,1.83792907927249
"29",28,0.0927535341307197,0.000142072492621347,0.00145156851847528,0.000823384308919535,-0.330805347236173,0.00224225203099721,0.366758383295892,1.83793063921875
"30",29,0.0909397733431412,0.000142072492621347,0.0014353201034023,0.000823384308919535,-0.326624504482542,0.00224225203099721,0.366758942361383,1.83793219916569
"31",30,0.0892784933931403,0.000142072492621347,0.00143281699938669,0.000823384308919535,-0.322536976390166,0.00224225203099721,0.366759501428726,1.83793375911332
"32",31,0.08773189023638,0.000142072492621347,0.00142305017050548,0.000823384308919535,-0.318543789366592,0.00224225203099721,0.366760060497921,1.83793531906163
"33",32,0.086226312730584,0.000142072492621347,0.00141647800190459,0.000823384308919535,-0.314662922470074,0.00224225203099721,0.366760619568968,1.83793687901064
"34",33,0.0848134783256564,0.000142072492621347,0.00139211972513564,0.000823384308919535,-0.310894506264926,0.00224225203099721,0.366761178641866,1.83793843896033
"35",34,0.083436818185239,0.000142072492621347,0.00135175248083996,0.000823384308919535,-0.307235538214439,0.00224225203099721,0.366761737716617,1.83793999891071
"36",35,0.0820838183112187,0.000142072492621347,0.00131194335051887,0.000823384308919535,-0.303668940512183,0.00224225203099721,0.366762296793219,1.83794155886177
"37",36,0.0807745182613435,0.000142072492621347,0.00130584724611316,0.000823384308919535,-0.300195283479414,0.00224225203099721,0.366762855871674,1.83794311881353
"38",37,0.0794869510698391,0.000142072492621347,0.00129945568711864,0.000823384308919535,-0.296804422699334,0.00224225203099721,0.36676341495198,1.83794467876597
"39",38,0.0782046627135173,0.000142072492621347,0.00129023329950462,0.000823384308919535,-0.293487428197647,0.00224225203099721,0.366763974034138,1.8379462387191
"40",39,0.0769654184342659,0.000142072492621347,0.00130086750204628,0.000823384308919535,-0.29021506319513,0.00224225203099721,0.366764533118148,1.83794779867291
"41",40,0.0757222537366959,0.000142072492621347,0.00127534715823607,0.000823384308919535,-0.286973633372712,0.00224225203099721,0.366765092204011,1.83794935862742
"42",41,0.0744514108036567,0.000142072492621347,0.00123932359298129,0.000823384308919535,-0.283784996420239,0.00224225203099721,0.366765651291725,1.83795091858261
"43",42,0.0731961665244434,0.000142072492621347,0.00126139242075674,0.000823384308919535,-0.280671793761869,0.00224225203099721,0.366766210381291,1.83795247853849
"44",43,0.0719196729535128,0.000142072492621347,0.00121536606597816,0.000823384308919535,-0.277657708904065,0.00224225203099721,0.366766769472709,1.83795403849505
"45",44,0.0706795096553217,0.000142072492621347,0.00118490247084457,0.000823384308919535,-0.274711658036857,0.00224225203099721,0.366767328565979,1.83795559845231
"46",45,0.069455199810402,0.000142072492621347,0.00119166500163059,0.000823384308919535,-0.2718344442135,0.00224225203099721,0.366767887661101,1.83795715841025
"47",46,0.0682524515052192,0.000142072492621347,0.00119104584481677,0.000823384308919535,-0.269020588000075,0.00224225203099721,0.366768446758075,1.83795871836888
"48",47,0.0671016648331166,0.000142072492621347,0.00116568336961675,0.000823384308919535,-0.266291633407272,0.00224225203099721,0.366769005856901,1.83796027832819
"49",48,0.065975900050085,0.000142072492621347,0.00113983506612403,0.000823384308919535,-0.263627673050069,0.00224225203099721,0.366769564957579,1.83796183828819
"50",49,0.0648706882923302,0.000142072492621347,0.00111556909942756,0.000823384308919535,-0.260990038094856,0.00224225203099721,0.366770124060109,1.83796339824888
"51",50,0.0638286260545842,0.000142072492621347,0.0011237445975083,0.000823384308919535,-0.258393968371779,0.00224225203099721,0.366770683164491,1.83796495821026
