"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",515744,0.00496172353039004,0.000178038339943796,0.000446338581248984,0.00131704985751374,0.055639557588753,0.00235445752854485,0.487025677008533,2.55907743160827,0.0174413863268091,0.0514658072181126,FALSE,TRUE
1,0.25,"hours",515743,0.00492301652546034,0.000178038339943796,0.000442485533598269,0.00131704985751374,0.0550220554693707,0.00235445752854485,0.487193887999633,2.55907669176451,0.0172908273918579,0.051465822097173,FALSE,TRUE
2,0.5,"hours",515199,0.00488803494507728,0.000178038339943796,0.000424885557575472,0.00131704985751374,0.0546228692368327,0.00235445752854485,0.487031820073132,2.5590199732765,0.0166034482736553,0.0514669627930815,FALSE,TRUE
3,0.75,"hours",514664,0.00479308337617335,0.000178038339943796,0.000383879068478254,0.00131704985751374,0.0542270129171868,0.00235445752854485,0.486891734273068,2.55898400939108,0.0150012296704269,0.0514676861082513,FALSE,TRUE
4,1,"hours",514137,0.00471463381130732,0.000178038339943796,0.000383536478487212,0.00131704985751374,0.0538515050576702,0.00235445752854485,0.486783238302159,2.55893687860073,0.0149881179834704,0.0514686340459452,FALSE,TRUE
5,1.25,"hours",513613,0.00461082311202921,0.000178038339943796,0.000376171789403301,0.00131704985751374,0.0534084015481016,0.00235445752854485,0.486703318802683,2.55890108555252,0.0147005209199822,0.051469353971897,FALSE,TRUE
6,1.5,"hours",513093,0.00449788241680915,0.000178038339943796,0.000355597191481927,0.00131704985751374,0.0529878018940231,0.00235445752854485,0.48662422780089,2.55886947132649,0.0138966522312523,0.0514699898635704,FALSE,TRUE
7,1.75,"hours",512574,0.00440809137228859,0.000178038339943796,0.000383587394994667,0.00131704985751374,0.0525876723142373,0.00235445752854485,0.486546361276005,2.55885922987746,0.0149905626114898,0.05147019586446,FALSE,TRUE
8,2,"hours",512057,0.00433393395373605,0.000178038339943796,0.000442128857495394,0.00131704985751374,0.0522053265552457,0.00235445752854485,0.486490451660038,2.5588719786606,0.0172782718784868,0.0514699394302302,FALSE,TRUE
9,2.25,"hours",511543,0.00425041486093702,0.000178038339943796,0.000421362903815226,0.00131704985751374,0.051841290214966,0.00235445752854485,0.486432567946629,2.55888934896655,0.016466632446823,0.0514695900409157,FALSE,TRUE
10,2.5,"hours",511031,0.00418537591937795,0.000178038339943796,0.000444244398194016,0.00131704985751374,0.0514807724372211,0.00235445752854485,0.486410235030492,2.55887930673631,0.017360896898284,0.0514697920314795,FALSE,TRUE
11,2.75,"hours",510521,0.00412624140082407,0.000178038339943796,0.000447191128621682,0.00131704985751374,0.0510774239102257,0.00235445752854485,0.486409573201287,2.55886543827932,0.0174761486841758,0.0514700709858107,FALSE,TRUE
12,3,"hours",510013,0.00409132605946771,0.000178038339943796,0.000444542583463381,0.00131704985751374,0.0506683084260388,0.00235445752854485,0.486404198455081,2.55884737363369,0.0173727666622065,0.0514704343480818,FALSE,TRUE
13,3.25,"hours",509507,0.00404313670093126,0.000178038339943796,0.000433140571395096,0.00131704985751374,0.0502709550162858,0.00235445752854485,0.486392754260091,2.55886498566897,0.0169270584349279,0.0514700800898028,FALSE,TRUE
14,3.5,"hours",509003,0.00403192907409755,0.000178038339943796,0.000429444379370647,0.00131704985751374,0.0498702328232218,0.00235445752854485,0.486408049414427,2.55888872317461,0.0167824562077037,0.0514696026281199,FALSE,TRUE
15,3.75,"hours",508500,0.00401035826973439,0.000178038339943796,0.000440070439608142,0.00131704985751374,0.0494502537895784,0.00235445752854485,0.486415320722091,2.55891313360574,0.0171975528918422,0.0514691116402963,FALSE,TRUE
