"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",1122944,0.0152062549689318,6.50032634561625e-05,0.00331480366768178,0.000174666232288952,0.194596534791508,0.00129093360408208,0.425827085053954,0.481221470367557,0.688831208040225,0.0362964337720722,TRUE,TRUE
1,0.25,"hours",1122943,0.0165245871600255,6.50032634561625e-05,0.00379296118540318,0.000174666232288952,0.218266276642904,0.00129093360408208,0.425827167933082,0.481221807990523,0.788193951816472,0.0362964083066642,TRUE,TRUE
2,0.5,"hours",1122740,0.0179370429206365,6.50032634561625e-05,0.00402087730185152,0.000174666232288952,0.241182439186711,0.00129093360408208,0.425837481473738,0.481182609711469,0.83562398571772,0.0362993650983536,TRUE,TRUE
3,0.75,"hours",1122537,0.0193861737934805,6.50032634561625e-05,0.00394475964788077,0.000174666232288952,0.262183022925654,0.00129093360408208,0.425863936783136,0.48114525547438,0.819868761667716,0.0363021832391845,TRUE,TRUE
4,1,"hours",1122334,0.0208443750379396,6.50032634561625e-05,0.00360633675586763,0.000174666232288952,0.280276816961034,0.00129093360408208,0.425883514703454,0.48110788493936,0.749590033495748,0.0363050030474906,TRUE,TRUE
5,1.25,"hours",1122131,0.0222441869524178,6.50032634561625e-05,0.00332123579432719,0.000174666232288952,0.294290106627713,0.00129093360408208,0.42590037217309,0.481073634186933,0.69037992488207,0.0363075878361443,TRUE,TRUE
6,1.5,"hours",1121928,0.0235731634110582,6.50032634561625e-05,0.00296475342225067,0.000174666232288952,0.30498685884149,0.00129093360408208,0.425933739996717,0.48103754196567,0.616324748820176,0.0363103119925341,TRUE,TRUE
7,1.75,"hours",1121725,0.0248198883469344,6.50032634561625e-05,0.00268797710319679,0.000174666232288952,0.31322010616268,0.00129093360408208,0.425956784659207,0.481000649353341,0.5588302441609,0.036313096983086,TRUE,TRUE
8,2,"hours",1121522,0.0259912633247547,6.50032634561625e-05,0.00248709293801197,0.000174666232288952,0.319197784267522,0.00129093360408208,0.425983282370131,0.480962954445187,0.517106965313149,0.0363159429795248,TRUE,TRUE
9,2.25,"hours",1121319,0.0270882875042687,6.50032634561625e-05,0.00219321082411505,0.000174666232288952,0.321923707533019,0.00129093360408208,0.426016680571639,0.480929764715839,0.456035576298949,0.0363184492006135,TRUE,TRUE
10,2.5,"hours",1121116,0.0281014742410731,6.50032634561625e-05,0.00201304154649884,0.000174666232288952,0.322345882658822,0.00129093360408208,0.42603975077281,0.48089904416064,0.418599614813624,0.0363207692778459,TRUE,TRUE
11,2.75,"hours",1120913,0.0290435613582571,6.50032634561625e-05,0.00185171255541117,0.000174666232288952,0.322209582426845,0.00129093360408208,0.426070081264692,0.480866464290031,0.38507833107994,0.0363232300981595,TRUE,TRUE
12,3,"hours",1120710,0.0298645859159408,6.50032634561625e-05,0.00163576614872118,0.000174666232288952,0.321525537054293,0.00129093360408208,0.426103510471252,0.480833868101512,0.340193621381065,0.0363256924847226,TRUE,TRUE
13,3.25,"hours",1120507,0.0306357241661042,6.50032634561625e-05,0.00152850733377841,0.000174666232288952,0.320606075366186,0.00129093360408208,0.426126965710725,0.480802639631098,0.317907433900773,0.0363280518640594,TRUE,TRUE
14,3.5,"hours",1120304,0.0313192320666998,6.50032634561625e-05,0.00143674443946806,0.000174666232288952,0.318964590045415,0.00129093360408208,0.426160415468245,0.480772319022423,0.298840923784769,0.0363303429457231,TRUE,TRUE
15,3.75,"hours",1120101,0.0319150050691593,6.50032634561625e-05,0.00130770894843546,0.000174666232288952,0.316990994712864,0.00129093360408208,0.426183529451221,0.480740160364877,0.27201990935039,0.0363327732295929,TRUE,TRUE
16,4,"hours",1119898,0.0324566778797274,6.50032634561625e-05,0.00121772628887862,0.000174666232288952,0.314280627788684,0.00129093360408208,0.426203201691197,0.480704051718637,0.253321411484872,0.0363355024082857,TRUE,TRUE
17,4.25,"hours",1119695,0.0329705584727706,6.50032634561625e-05,0.0011651017314448,0.000174666232288952,0.311074363976692,0.00129093360408208,0.426229780789517,0.480667684176415,0.242392357506018,0.0363382515694244,TRUE,TRUE
18,4.5,"hours",1119492,0.0334267252183279,6.50032634561625e-05,0.00110068003960817,0.000174666232288952,0.307663919343691,0.00129093360408208,0.426252918152832,0.480632242729911,0.229006700290537,0.0363409311237376,TRUE,TRUE
19,4.75,"hours",1119289,0.0337974834004752,6.50032634561625e-05,0.00100124619536224,0.000174666232288952,0.303971181638161,0.00129093360408208,0.426279514530795,0.480608600405577,0.208328813616174,0.036342718823915,TRUE,TRUE
20,5,"hours",1119086,0.0341575730583435,6.50032634561625e-05,0.000937687008494836,0.000174666232288952,0.300556411837659,0.00129093360408208,0.426299216287803,0.480584007388883,0.195114068316483,0.0363445785967684,TRUE,TRUE
21,5.25,"hours",1118883,0.0344264667190897,6.50032634561625e-05,0.00088432341103506,0.000174666232288952,0.29681823110433,0.00129093360408208,0.42631892470066,0.480559403718974,0.184019583050799,0.0363464393657137,TRUE,TRUE
22,5.5,"hours",1118680,0.0346310979424721,6.50032634561625e-05,0.00081365295768443,0.000174666232288952,0.292534301075934,0.00129093360408208,0.426330719895435,0.480534789388693,0.169322383238789,0.0363483011315688,TRUE,TRUE
23,5.75,"hours",1118477,0.0347595393867827,6.50032634561625e-05,0.00075283033382445,0.000174666232288952,0.287519472166248,0.00129093360408208,0.42633906515123,0.480515047189487,0.156671541968919,0.0363497945195614,TRUE,TRUE
24,6,"hours",1118274,0.0348369345964814,6.50032634561625e-05,0.000735987901610224,0.000174666232288952,0.281571599655051,0.00129093360408208,0.426342222088662,0.480502781299518,0.153170372837333,0.0363507224279884,TRUE,TRUE
25,6.25,"hours",1118071,0.0348701109109524,6.50032634561625e-05,0.000696583846085619,0.000174666232288952,0.27553253316524,0.00129093360408208,0.426338468175478,0.480493130096243,0.144972696268538,0.0363514525699808,TRUE,TRUE
26,6.5,"hours",1117868,0.034897407278626,6.50032634561625e-05,0.000712437905386776,0.000174666232288952,0.269505137898958,0.00129093360408208,0.426361656305009,0.480485304792575,0.148274650292236,0.0363520445988156,TRUE,TRUE
27,6.75,"hours",1117665,0.0348831012515731,6.50032634561625e-05,0.000712237831018259,0.000174666232288952,0.26389924341245,0.00129093360408208,0.426377940521753,0.480477475917008,0.148235425533513,0.0363526369171823,TRUE,TRUE
28,7,"hours",1117462,0.0348395926764687,6.50032634561625e-05,0.000644709174516755,0.000174666232288952,0.258814823864012,0.00129093360408208,0.426391134789203,0.480469643467173,0.134183123384111,0.0363532295252875,TRUE,TRUE
29,7.25,"hours",1117259,0.0347795606929456,6.50032634561625e-05,0.000614460452100674,0.000174666232288952,0.253802721760187,0.00129093360408208,0.426414704754556,0.4804618074407,0.127889551798873,0.0363538224233379,TRUE,TRUE
30,7.5,"hours",1117056,0.0346804999002622,6.50032634561625e-05,0.000580692327812882,0.000174666232288952,0.248879079100363,0.00129093360408208,0.426428654175643,0.480453967835217,0.120863259893411,0.0363544156115406,TRUE,TRUE
31,7.75,"hours",1116853,0.0345850672167507,6.50032634561625e-05,0.000541899835293846,0.000174666232288952,0.244266070835178,0.00129093360408208,0.426448780473983,0.480450071481871,0.112790041558833,0.0363547104385315,TRUE,TRUE
32,8,"hours",1116650,0.0344502679661857,6.50032634561625e-05,0.000553358563753381,0.000174666232288952,0.23979541050449,0.00129093360408208,0.42646545496617,0.48044617301501,0.115175974923645,0.0363550054302327,TRUE,TRUE
33,8.25,"hours",1116447,0.0342726488018888,6.50032634561625e-05,0.000476988534724332,0.000174666232288952,0.23540223174763,0.00129093360408208,0.42649597206942,0.480443061896389,0.0992809705361502,0.0363552408477948,TRUE,TRUE
34,8.5,"hours",1116244,0.0341308123562364,6.50032634561625e-05,0.000507818668787019,0.000174666232288952,0.230942676239337,0.00129093360408208,0.426512299434075,0.480439948167516,0.10569867695722,0.0363554764659268,TRUE,TRUE
35,8.75,"hours",1116041,0.0339255506997977,6.50032634561625e-05,0.000460674484742629,0.000174666232288952,0.226325236857477,0.00129093360408208,0.426542473722575,0.480436831826029,0.0958865878354313,0.0363557122848151,TRUE,TRUE
36,9,"hours",1115838,0.0336495875994954,6.50032634561625e-05,0.000417963794763332,0.000174666232288952,0.221895225506453,0.00129093360408208,0.426576480015997,0.480433712869569,0.0869971826637411,0.0363559483046461,TRUE,TRUE
37,9.25,"hours",1115635,0.0334210371092447,6.50032634561625e-05,0.000457463077762177,0.000174666232288952,0.217750511534384,0.00129093360408208,0.426608755418933,0.480434542433527,0.0952186067731529,0.0363558855290091,TRUE,TRUE
38,9.5,"hours",1115432,0.0331162013923472,6.50032634561625e-05,0.000438812871867644,0.000174666232288952,0.213630816648315,0.00129093360408208,0.426634117098887,0.480435370795909,0.0913365040423,0.0363558228445156,TRUE,TRUE
39,9.75,"hours",1115229,0.0328017752216936,6.50032634561625e-05,0.000439775136676146,0.000174666232288952,0.209772792667963,0.00129093360408208,0.426662948883554,0.480438036088764,0.0915362863973773,0.0363556211558323,TRUE,TRUE
40,10,"hours",1115026,0.0324347083989138,6.50032634561625e-05,0.000406430175828865,0.000174666232288952,0.205963159027391,0.00129093360408208,0.426688326725972,0.48044070138199,0.0845952840089873,0.0363554194693589,TRUE,TRUE
41,10.25,"hours",1114823,0.032056145082208,6.50032634561625e-05,0.000401153545055544,0.000174666232288952,0.202235202625235,0.00129093360408208,0.42672238518855,0.480439412675579,0.0834972182697315,0.0363555169872995,TRUE,TRUE
42,10.5,"hours",1114620,0.0316601140271476,6.50032634561625e-05,0.000396260826503347,0.000174666232288952,0.198600936990657,0.00129093360408208,0.426749166188208,0.480436007240808,0.0824794188052459,0.0363557746831004,TRUE,TRUE
43,10.75,"hours",1114417,0.0312919771145221,6.50032634561625e-05,0.000361085877702227,0.000174666232288952,0.194909265049823,0.00129093360408208,0.426779420560982,0.480430759761365,0.0751587758205954,0.0363561717771174,TRUE,TRUE
44,11,"hours",1114214,0.0309053039726379,6.50032634561625e-05,0.000346147525980833,0.000174666232288952,0.191021039062089,0.00129093360408208,0.426803553448138,0.480425626946335,0.0720501793755268,0.0363565602024937,TRUE,TRUE
45,11.25,"hours",1114011,0.0305121526117726,6.50032634561625e-05,0.000376092955303831,0.000174666232288952,0.187057497927924,0.00129093360408208,0.426832802236975,0.480418650753115,0.0782844202060554,0.0363570881386768,TRUE,TRUE
46,11.5,"hours",1113808,0.0300955786658605,6.50032634561625e-05,0.000352668720842608,0.000174666232288952,0.183278036712474,0.00129093360408208,0.426863446919277,0.480411671048443,0.0734096905000141,0.0363576163559397,TRUE,TRUE
