"Lag","Lag_time","Lag_unit","N_complete_windows","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant"
0,0,"hours",339278,0.0704672392287371,0.000230321147276067,0.0080233592505401,0.000765163206711356,0.367507365495976,0.00304532744097076,1.22277545102872,0.771740400286061,1.03964484009987,0.0991477453334998,TRUE,TRUE
1,0.5,"hours",339278,0.0725215947518669,0.000230321147276067,0.00819523175490011,0.000765163206711356,0.37804617458277,0.00304532744097076,1.22764950378975,0.771740400286061,1.06191560683649,0.0991477453334998,TRUE,TRUE
2,1,"hours",333183,0.070625745125273,0.000230321147276067,0.00635990408393949,0.000765163206711356,0.385366859005876,0.00304532744097076,1.17696862035921,0.746427521735027,0.852045764491141,0.102510047450123,TRUE,TRUE
3,1.5,"hours",330740,0.0700920999723584,0.000230321147276067,0.00555050057947515,0.000765163206711356,0.391007559117442,0.00304532744097076,1.15096665609854,0.733628908771232,0.756581496873096,0.104298399035684,TRUE,TRUE
4,2,"hours",329382,0.0701012211315706,0.000230321147276067,0.00482453055445742,0.000765163206711356,0.396051784135515,0.00304532744097076,1.13484049571184,0.725509686068735,0.664984995665563,0.105465608716748,TRUE,TRUE
5,2.5,"hours",328451,0.0704741655602947,0.000230321147276067,0.00433146134162365,0.000765163206711356,0.40124811550026,0.00304532744097076,1.12404971992194,0.719448886745167,0.602052685246267,0.106354074738096,TRUE,TRUE
6,3,"hours",327833,0.0709686428142189,0.000230321147276067,0.00375760110921419,0.000765163206711356,0.406062083418983,0.00304532744097076,1.11663860814928,0.714990790376387,0.525545386009253,0.107017211551572,TRUE,TRUE
7,3.5,"hours",327369,0.0717402896416421,0.000230321147276067,0.00366319283345384,0.000765163206711356,0.411348313357274,0.00304532744097076,1.11123273345115,0.71158694308828,0.514792024928904,0.107529124043586,TRUE,TRUE
8,4,"hours",327056,0.0725948579529812,0.000230321147276067,0.00357452222123622,0.000765163206711356,0.415682020023678,0.00304532744097076,1.10751890854499,0.708910741363347,0.504227403066549,0.107935056145408,TRUE,TRUE
9,4.5,"hours",326791,0.0734317846128709,0.000230321147276067,0.00301635961039226,0.000765163206711356,0.419677103072598,0.00304532744097076,1.10458794638842,0.706550566265274,0.42691347999851,0.108295604482479,TRUE,TRUE
10,5,"hours",326592,0.0742047090815301,0.000230321147276067,0.00296326874534736,0.000765163206711356,0.422736445588581,0.00304532744097076,1.1024263893583,0.704620948013953,0.42054792065147,0.108592174114046,TRUE,TRUE
11,5.5,"hours",326425,0.0750419440639583,0.000230321147276067,0.00290012878879398,0.000765163206711356,0.426430532703794,0.00304532744097076,1.10058271737353,0.702994915195085,0.41253908472285,0.108843348674723,TRUE,TRUE
12,6,"hours",326291,0.0759702262627426,0.000230321147276067,0.00279018502864981,0.000765163206711356,0.430103538688826,0.00304532744097076,1.09910864976784,0.701636696650167,0.397668058408436,0.109054046113107,TRUE,TRUE
13,6.5,"hours",326179,0.0768418023969784,0.000230321147276067,0.00248414596243252,0.000765163206711356,0.433573968511901,0.00304532744097076,1.09788530769405,0.700448899214813,0.354650562691609,0.109238976257809,TRUE,TRUE
